Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,Arizona,Both,All Ages,1999,2017,Suicide Firearm,2000,489,5166810,9.46,9.610383884
Both Sexes,All Races,Arkansas,Both,All Ages,1999,2017,Suicide Firearm,2000,244,2678217,9.11,8.98549691
Both Sexes,All Races,California,Both,All Ages,1999,2017,Suicide Firearm,2000,1487,33998767,4.37,4.644263172
Both Sexes,All Races,Colorado,Both,All Ages,1999,2017,Suicide Firearm,2000,350,4327788,8.09,8.224737408
Both Sexes,All Races,Connecticut,Both,All Ages,1999,2017,Suicide Firearm,2000,113,3411714,3.31,3.218609044
Both Sexes,All Races,Delaware,Both,All Ages,1999,2017,Suicide Firearm,2000,40,786404,5.09,5.086645805
Both Sexes,All Races,District of Columbia,Both,All Ages,1999,2017,Suicide Firearm,2000,P,571723,.,.
Both Sexes,All Races,Florida,Both,All Ages,1999,2017,Suicide Firearm,2000,1186,16047246,7.39,6.848521687
Both Sexes,All Races,Georgia,Both,All Ages,1999,2017,Suicide Firearm,2000,588,8230053,7.14,7.465689335
Both Sexes,All Races,Hawaii,Both,All Ages,1999,2017,Suicide Firearm,2000,37,1211479,3.05,2.973581401
Both Sexes,All Races,Idaho,Both,All Ages,1999,2017,Suicide Firearm,2000,107,1299474,8.23,8.5780688
Both Sexes,All Races,Illinois,Both,All Ages,1999,2017,Suicide Firearm,2000,431,12437888,3.47,3.487170143
Both Sexes,All Races,Indiana,Both,All Ages,1999,2017,Suicide Firearm,2000,411,6091392,6.75,6.749864147
Both Sexes,All Races,Iowa,Both,All Ages,1999,2017,Suicide Firearm,2000,157,2928046,5.36,5.298202232
Both Sexes,All Races,Kansas,Both,All Ages,1999,2017,Suicide Firearm,2000,186,2692681,6.91,6.937451911
Both Sexes,All Races,Kentucky,Both,All Ages,1999,2017,Suicide Firearm,2000,373,4048831,9.21,9.111471385
Both Sexes,All Races,Louisiana,Both,All Ages,1999,2017,Suicide Firearm,2000,326,4468879,7.29,7.433906262
Both Sexes,All Races,Maine,Both,All Ages,1999,2017,Suicide Firearm,2000,98,1277179,7.67,7.388250091
Both Sexes,All Races,Maryland,Both,All Ages,1999,2017,Suicide Firearm,2000,245,5310451,4.61,4.689080044
Both Sexes,All Races,Massachusetts,Both,All Ages,1999,2017,Suicide Firearm,2000,105,6362583,1.65,1.600203641
Both Sexes,All Races,Michigan,Both,All Ages,1999,2017,Suicide Firearm,2000,531,9955146,5.33,5.365878233
Both Sexes,All Races,Minnesota,Both,All Ages,1999,2017,Suicide Firearm,2000,223,4933787,4.52,4.519835091
Both Sexes,All Races,Mississippi,Both,All Ages,1999,2017,Suicide Firearm,2000,220,2848293,7.72,7.780252333
Both Sexes,All Races,Missouri,Both,All Ages,1999,2017,Suicide Firearm,2000,434,5605868,7.74,7.672298804
Both Sexes,All Races,Montana,Both,All Ages,1999,2017,Suicide Firearm,2000,107,903283,11.85,11.80842363
Both Sexes,All Races,Nebraska,Both,All Ages,1999,2017,Suicide Firearm,2000,115,1713194,6.71,6.697675761
Both Sexes,All Races,Nevada,Both,All Ages,1999,2017,Suicide Firearm,2000,241,2018244,11.94,12.11866362
Both Sexes,All Races,New Hampshire,Both,All Ages,1999,2017,Suicide Firearm,2000,67,1240361,5.4,5.305134453
Both Sexes,All Races,New Jersey,Both,All Ages,1999,2017,Suicide Firearm,2000,154,8430913,1.83,1.79467199
Both Sexes,All Races,New Mexico,Both,All Ages,1999,2017,Suicide Firearm,2000,175,1820704,9.61,9.825212664
Both Sexes,All Races,New York,Both,All Ages,1999,2017,Suicide Firearm,2000,450,18998429,2.37,2.338182481
Both Sexes,All Races,North Carolina,Both,All Ages,1999,2017,Suicide Firearm,2000,621,8078824,7.69,7.615113272
Both Sexes,All Races,North Dakota,Both,All Ages,1999,2017,Suicide Firearm,2000,35,641183,5.46,5.309831563
Both Sexes,All Races,Ohio,Both,All Ages,1999,2017,Suicide Firearm,2000,584,11363719,5.14,5.085453941
Both Sexes,All Races,Oklahoma,Both,All Ages,1999,2017,Suicide Firearm,2000,301,3453861,8.71,8.719956886
Both Sexes,All Races,Oregon,Both,All Ages,1999,2017,Suicide Firearm,2000,302,3430828,8.8,8.572225796
Both Sexes,All Races,Pennsylvania,Both,All Ages,1999,2017,Suicide Firearm,2000,756,12285041,6.15,5.91281972
Both Sexes,All Races,Rhode Island,Both,All Ages,1999,2017,Suicide Firearm,2000,27,1050725,2.57,2.517113122
Both Sexes,All Races,South Carolina,Both,All Ages,1999,2017,Suicide Firearm,2000,297,4023396,7.38,7.43048328
Both Sexes,All Races,South Dakota,Both,All Ages,1999,2017,Suicide Firearm,2000,51,755657,6.75,6.821673486
Both Sexes,All Races,Tennessee,Both,All Ages,1999,2017,Suicide Firearm,2000,501,5703094,8.78,8.723812317
Both Sexes,All Races,Texas,Both,All Ages,1999,2017,Suicide Firearm,2000,1269,20946049,6.06,6.395624758
Both Sexes,All Races,Utah,Both,All Ages,1999,2017,Suicide Firearm,2000,174,2244210,7.75,9.001083852
Both Sexes,All Races,Vermont,Both,All Ages,1999,2017,Suicide Firearm,2000,47,609876,7.71,7.47241947
Both Sexes,All Races,Virginia,Both,All Ages,1999,2017,Suicide Firearm,2000,484,7104354,6.81,6.844013779
Both Sexes,All Races,Washington,Both,All Ages,1999,2017,Suicide Firearm,2000,390,5911104,6.6,6.694511462
Both Sexes,All Races,West Virginia,Both,All Ages,1999,2017,Suicide Firearm,2000,173,1806977,9.57,9.197579697
Both Sexes,All Races,Wisconsin,Both,All Ages,1999,2017,Suicide Firearm,2000,304,5374133,5.66,5.615161401
Both Sexes,All Races,Wyoming,Both,All Ages,1999,2017,Suicide Firearm,2000,50,493963,10.12,10.07548832
Both Sexes,All Races,,Both,All Ages,1999,2017,Suicide Firearm,2000,S,282171936,.,.
Both Sexes,All Races,Alabama,Both,All Ages,1999,2017,Suicide Firearm,2001,387,4467634,8.66,8.562282005
Both Sexes,All Races,Alaska,Both,All Ages,1999,2017,Suicide Firearm,2001,65,633714,10.26,10.30641333
Both Sexes,All Races,Arizona,Both,All Ages,1999,2017,Suicide Firearm,2001,468,5273477,8.87,8.995795623
Both Sexes,All Races,Arkansas,Both,All Ages,1999,2017,Suicide Firearm,2001,274,2691571,10.18,10.10625132
Both Sexes,All Races,California,Both,All Ages,1999,2017,Suicide Firearm,2001,1450,34479458,4.21,4.453987845
Both Sexes,All Races,Colorado,Both,All Ages,1999,2017,Suicide Firearm,2001,390,4425687,8.81,9.090858932
Both Sexes,All Races,Connecticut,Both,All Ages,1999,2017,Suicide Firearm,2001,115,3432835,3.35,3.276463168
Both Sexes,All Races,Delaware,Both,All Ages,1999,2017,Suicide Firearm,2001,53,795699,6.66,6.599474583
Both Sexes,All Races,District of Columbia,Both,All Ages,1999,2017,Suicide Firearm,2001,21,574504,3.66,3.195149411
Both Sexes,All Races,Florida,Both,All Ages,1999,2017,Suicide Firearm,2001,1197,16356966,7.32,6.740433529
Both Sexes,All Races,Georgia,Both,All Ages,1999,2017,Suicide Firearm,2001,626,8377038,7.47,7.760642836
Both Sexes,All Races,Hawaii,Both,All Ages,1999,2017,Suicide Firearm,2001,31,1225948,2.53,2.443806383
