"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","60","1811801","3.31","3.3336830162967"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","294","5332666","5.51","5.49631320693229"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","35","491780","7.12","7.27665940083822"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Suicide Non-Firearm","1999","12600","279040238","4.52","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","156","4451687","3.5","3.53725450293981"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","41","627428","6.53","6.5079664493511"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","295","5166810","5.71","5.86705442160503"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","105","2678217","3.92","3.98182116997843"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","1482","33998767","4.36","4.46826968579948"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","263","4327788","6.08","5.99774537577261"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","191","3411714","5.6","5.50417621610269"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","42","786404","5.34","5.29977311045641"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","16","571723","2.8","2.59752628213243"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Suicide Non-Firearm","2000","900","16047246","5.61","5.50826039906178"
