,state,weapons,machinegun,silencer,short_barreled_rifle,short_barreled_gun,Total,Year
41,South_Dakota,368,1915,15341,903,213,18740,2017
42,Tennessee,1700,14144,32111,8491,6111,62557,2017
43,Texas,7192,37701,265597,50518,8641,369649,2017
44,Utah,483,7169,51760,5865,1418,66695,2017
45,Virginia,2958,35211,50100,18996,8505,115770,2017
46,Vermont,227,1365,1558,519,152,3821,2017
47,Washington,1936,4391,36798,9128,1009,53262,2017
48,Wisconsin,776,8060,25148,5389,1304,40677,2017
49,West_Virginia,466,7006,7986,2029,1087,18574,2017
50,Wyoming,317,1804,7769,1223,399,11512,2017
51,Other_US_Territories,6,215,18,12,97,348,2017
